年月日,曜,1,2,3,4,5,6,7,8,9,10,11,12
 2019-06-06 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2019-06-07 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2019-06-08 ,土,,,,,,,,,,,,
 2019-06-09 ,日,,,,,,,,,,,,
 2019-06-10 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-06-11 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-06-12 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-06-13 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-06-14 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-06-15 ,土,,,,,,,,,,,,
 2019-06-16 ,日,,,,,,,,,,,,
 2019-06-17 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-06-18 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-06-19 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2019-06-20 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2019-06-21 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2019-06-22 ,土,,,,,,,,,,,,
 2019-06-23 ,日,,,,,,,,,,,,
 2019-06-24 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-06-25 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-06-26 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-06-27 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-06-28 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-06-29 ,土,,,,,,,,,,,,
 2019-06-30 ,日,,,,,,,,,,,,
 2019-07-01 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-07-02 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-07-03 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2019-07-04 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2019-07-05 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2019-07-06 ,土,,,,,,,,,,,,
 2019-07-07 ,日,,,,,,,,,,,,
 2019-07-08 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-07-09 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-07-10 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-07-11 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-07-12 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-07-13 ,土,,,,,,,,,,,,
 2019-07-14 ,日,,,,,,,,,,,,
 2019-07-15 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-07-16 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-07-17 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2019-07-18 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2019-07-19 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2019-07-20 ,土,,,,,,,,,,,,
 2019-07-21 ,日,,,,,,,,,,,,
 2019-07-22 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-07-23 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-07-24 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-07-25 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-07-26 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-07-27 ,土,,,,,,,,,,,,
 2019-07-28 ,日,,,,,,,,,,,,
 2019-07-29 ,月,,,,,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-07-30 ,火,可燃,可燃,可燃,可燃,,リプラ,,,可燃,,可燃,リプラ
 2019-07-31 ,水,リプラ,リプラ,,リプラ,リプラ,,リプラ,,,,,
 2019-08-01 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2019-08-02 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2019-08-03 ,土,,,,,,,,,,,,
 2019-08-04 ,日,,,,,,,,,,,,
 2019-08-05 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-08-06 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-08-07 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2019-08-08 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-08-09 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-08-10 ,土,,,,,,,,,,,,
 2019-08-11 ,日,,,,,,,,,,,,
 2019-08-12 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-08-13 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-08-14 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-08-15 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2019-08-16 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2019-08-17 ,土,,,,,,,,,,,,
 2019-08-18 ,日,,,,,,,,,,,,
 2019-08-19 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-08-20 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-08-21 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2019-08-22 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-08-23 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-08-24 ,土,,,,,,,,,,,,
 2019-08-25 ,日,,,,,,,,,,,,
 2019-08-26 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-08-27 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-08-28 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-08-29 ,木,,,リプラ,,可燃,可燃,可燃,可燃,リプラ,可燃,,可燃
 2019-08-30 ,金,可燃,可燃,可燃,可燃,,,,リプラ,可燃,リプラ,可燃,
 2019-08-31 ,土,,,,,,,,,,,,
 2019-09-01 ,日,,,,,,,,,,,,
 2019-09-02 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-09-03 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-09-04 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
 2019-09-05 ,木,不燃,,リプラ,資源,可燃,可燃,可燃,可燃,リプラ,可燃,他プラ,可燃
 2019-09-06 ,金,可燃,可燃,可燃,可燃,他プラ,,資源,リプラ,可燃,リプラ,可燃,不燃
 2019-09-07 ,土,,,,,,,,,,,,
 2019-09-08 ,日,,,,,,,,,,,,
 2019-09-09 ,月,他プラ,他プラ,資源,,可燃,可燃,可燃,可燃,不燃,可燃,リプラ,可燃
 2019-09-10 ,火,可燃,可燃,可燃,可燃,不燃,リプラ,,資源,可燃,他プラ,可燃,リプラ
 2019-09-11 ,水,リプラ,リプラ,不燃,リプラ,リプラ,資源,リプラ,不燃,他プラ,,,資源
 2019-09-12 ,木,,不燃,リプラ,他プラ,可燃,可燃,可燃,可燃,リプラ,可燃,資源,可燃
 2019-09-13 ,金,可燃,可燃,可燃,可燃,資源,不燃,他プラ,リプラ,可燃,リプラ,可燃,
 2019-09-14 ,土,,,,,,,,,,,,
 2019-09-15 ,日,,,,,,,,,,,,
 2019-09-16 ,月,資源,資源,他プラ,不燃,可燃,可燃,可燃,可燃,,可燃,リプラ,可燃
 2019-09-17 ,火,可燃,可燃,可燃,可燃,,リプラ,不燃,他プラ,可燃,資源,可燃,リプラ
 2019-09-18 ,水,リプラ,リプラ,,リプラ,リプラ,他プラ,リプラ,,資源,不燃,不燃,他プラ
